************************************************************
*        WINTRANS/FTOWER Version 2007-06-05                *  2023-03-07
*        Structural Analysis of Lattice Towers             *  12:49:04
************************************************************
Data File Name: C:\Documents and Settings\ХР\Рабочий стол\цкад.fto
 484  56.0  813.8   -0.3  -72.9  2.27  0.01
 485  56.5  833.4    0.4  -72.7  2.25  0.00
 486  56.5  833.3    0.4  -72.9  2.23  0.00
 487  56.0  814.1    0.0 -115.7  2.21 -0.01
 488  56.0  814.0    0.0 -116.2  2.26 -0.01
 489  60.0  979.0   -0.4   77.6  2.44 -0.03
 490  60.0  979.2   -0.4   77.7  2.43 -0.01
 491  60.5 1000.3   -0.1   77.6  2.45 -0.01
 492  60.5 1000.4   -0.1   77.7  2.44 -0.01
 493  60.0  979.8    0.5  122.5  2.28  0.01
 494  60.0  979.5    0.4  122.7  2.31  0.01
 495  60.0  978.7   -0.3  -82.3  2.55  0.01
 496  60.0  978.7   -0.3  -82.5  2.54  0.00
 497  60.5 1000.8    0.3  -82.3  2.53  0.00
 498  60.5 1000.6    0.4  -82.5  2.52  0.00
 499  60.0  979.0    0.1 -130.6  2.49 -0.01
 500  60.0  978.9    0.0 -131.1  2.55 -0.01
 501  64.0 1161.8   -0.4   84.3  2.62 -0.03
 502  64.0 1162.0   -0.4   84.3  2.62 -0.01
 503  64.5 1184.8   -0.2   84.3  2.64 -0.01
 504  64.5 1184.9   -0.2   84.3  2.63  0.00
 505  64.0 1162.6    0.4  132.8  2.47  0.01
 506  64.0 1162.3    0.3  133.0  2.50  0.01
 507  64.0 1161.4   -0.2  -89.3  2.73  0.01
 508  64.0 1161.5   -0.2  -89.5  2.73  0.00
 509  64.5 1185.2    0.3  -89.3  2.73  0.01
 510  64.5 1185.1    0.3  -89.6  2.72  0.00
 511  64.0 1161.8    0.2 -141.1  2.66 -0.01
 512  64.0 1161.7    0.2 -141.7  2.72 -0.01
 513  67.5 1328.6   -0.1   81.5  2.75  0.02
 514  67.5 1328.6   -0.1   81.7  2.78  0.02
 515  67.5 1329.8   -0.1  -86.9  2.90 -0.03
 516  67.5 1329.5   -0.2  -86.0  2.75 -0.05


Strength summary of lattice structure members

Following cases are included in the summary:
Nr  Case name
----------------------------------
 1  Wind l+лед
----------------------------------

Body panel nr 1 
 Mem Ty G  Leng  Lbuc Sle    Fbuc Lc N    Fmin Lc    Fmax Lc  Cbuc Cten Cbea Cbol Cben  Cmax   Profile/Material - Bolt
----------------------------------------------------------------------------------------------------------------------
   4  1    3009  1003  20-3430418  1  -3430418  1 3187159  1  0.97 0.86      1.25       1.25 * L250x24/S355 - 20xM60A-bolt
   8  3    4805 -4805 162  -23963  1 4  -47720  1   47705  1  0.36 0.16 0.49 0.94       0.94   L80x8/S355 - 2xM12/8.8
  12  4    4805 -4805 162  -23963  1 4    -207  1     192  1  0.36 0.00 0.00 0.00       0.36   L80x8/S355 - 2xM12/8.8
  20  6    1793 -3586 135  -37300  1    -37300  1   36957  1  0.69 0.42 0.59 0.75 0.34  0.75   L70x7/S355 - 1xM16/8.8
  28  7    1793 -3586 135   -2588  1     -2588  1    2244  1  0.05 0.03 0.04 0.05 0.34  0.34   L70x7/S355 - 1xM16/8.8
Plan frame
  36 11 1  1890  1890 159   -2173  1     -2173  1    2004  1  0.11 0.05 0.06 0.08 0.45  0.45   L50x5/S355 - 1xM12/8.8
  44 11 2  2363  2363 199   -2152  1     -2152  1    1982  1  0.16 0.04 0.06 0.08 0.57  0.57   L50x5/S355 - 1xM12/8.8
  52 11 3  1418  1418 122    -661  1      -661  1     716  1  0.02 0.02 0.02 0.03 0.34  0.34   L50x5/S355 - 1xM12/8.8
  56 11 4  1902  1902 179   -1670  1     -1670  1    1468  1  0.11 0.04 0.05 0.06 0.57  0.57   L45x5/S355 - 1xM12/8.8
  60 11 5   598   598  73     -24  1       -24  1      23  1  0.00 0.00 0.00 0.00 0.17  0.17   L45x5/S355 - 1xM12/8.8
Redundant block nr 1 
  64 10 1  2391  2391 136  -68608  1    -68608  1   68608  1  0.78 0.46 0.68 0.89 0.11  0.89   L90x9/S355 - 1xM20/8.8
  68 10 2  2391  2391 136  -68608  1    -68608  1   68608  1  0.78 0.46 0.68 0.89 0.11  0.89   L90x9/S355 - 1xM20/8.8
  72 10 3  2542  2542 145  -68608  1    -68608  1   68608  1  0.88 0.46 0.68 0.89 0.12  0.89   L90x9/S355 - 1xM20/8.8
  76 10 4  2542  2542 145  -68608  1    -68608  1   68608  1  0.88 0.46 0.68 0.89 0.12  0.89   L90x9/S355 - 1xM20/8.8
  80 10 5  3381  3381 192       0  0         0  0       0  0                      0.16  0.16   L90x9/S355 - 1xM12/8.8
Redundant block nr 2 
  84 10 1  1195  1195  88  -68608  1    -68608  1   68608  1  0.59 0.83 0.88 0.89 0.10  0.89   L70x7/S355 - 1xM20/8.8
  88 10 2  1195  1195  88  -68608  1    -68608  1   68608  1  0.59 0.83 0.88 0.89 0.10  0.89   L70x7/S355 - 1xM20/8.8
  92 10 3  1518  1518 111  -68608  1    -68608  1   68608  1  0.88 0.83 0.88 0.89       0.89   L70x7/S355 - 1xM20/8.8
  96 10 4  1518  1518 111  -68608  1    -68608  1   68608  1  0.88 0.83 0.88 0.89       0.89   L70x7/S355 - 1xM20/8.8
 100 10 5  1691  1691 194       0  0         0  0       0  0                      0.50  0.50   L45x5/S355 - 1xM12/8.8

Body panel nr 2 
 Mem Ty G  Leng  Lbuc Sle    Fbuc Lc N    Fmin Lc    Fmax Lc  Cbuc Cten Cbea Cbol Cben  Cmax   Profile/Material - Bolt
----------------------------------------------------------------------------------------------------------------------
 104  1    3009  1003  20-3391661  1  -3391661  1 3162437  1  0.96 0.85                 0.96   L250x24/S355
 108  3    4679 -4679 158  -24816  1 4  -49398  1   49382  1  0.35 0.16 0.51 0.97       0.97   L80x8/S355 - 2xM12/8.8
 112  4    4679 -4679 158  -24816  1 4    -234  1     217  1  0.35 0.00 0.00 0.00       0.35   L80x8/S355 - 2xM12/8.8
 120  6    1711 -3423 129  -37934  1    -37934  1   37551  1  0.65 0.42 0.60 0.76 0.32  0.76   L70x7/S355 - 1xM16/8.8
 128  7    1711 -3423 129   -3230  1     -3230  1    2847  1  0.06 0.03 0.05 0.07 0.32  0.32   L70x7/S355 - 1xM16/8.8
Plan frame
 136 11 1  1804  1804 152   -2046  1     -2046  1    1859  1  0.09 0.04 0.06 0.07 0.43  0.43   L50x5/S355 - 1xM12/8.8
 144 11 2  2255  2255 190   -2023  1     -2023  1    1834  1  0.14 0.04 0.06 0.07 0.54  0.54   L50x5/S355 - 1xM12/8.8
 152 11 3  1353  1353 118    -615  1      -615  1     677  1  0.02 0.02 0.02 0.02 0.32  0.32   L50x5/S355 - 1xM12/8.8
 156 11 4  1815  1815 171   -1581  1     -1581  1    1357  1  0.10 0.04 0.05 0.06 0.54  0.54   L45x5/S355 - 1xM12/8.8
 160 11 5   570   570  71     -28  1       -28  1      27  1  0.00 0.00 0.00 0.00 0.17  0.17   L45x5/S355 - 1xM12/8.8
Redundant block nr 3 
 164 10 1  2282  2282 130  -67833  1    -67833  1   67833  1  0.71 0.45 0.68 0.88 0.10  0.88   L90x9/S355 - 1xM20/8.8
 168 10 2  2282  2282 130  -67833  1    -67833  1   67833  1  0.71 0.45 0.68 0.88 0.10  0.88   L90x9/S355 - 1xM20/8.8
 172 10 3  2442  2442 139  -67833  1    -67833  1   67833  1  0.80 0.45 0.68 0.88 0.11  0.88   L90x9/S355 - 1xM20/8.8
 176 10 4  2442  2442 139  -67833  1    -67833  1   67833  1  0.80 0.45 0.68 0.88 0.11  0.88   L90x9/S355 - 1xM20/8.8
 180 10 5  3227  3227 184       0  0         0  0       0  0                      0.15  0.15   L90x9/S355 - 1xM12/8.8
Redundant block nr 4 
 184 10 1  1141  1141  84  -67833  1    -67833  1   67833  1  0.55 0.83 0.87 0.88 0.10  0.88   L70x7/S355 - 1xM20/8.8
 188 10 2  1141  1141  84  -67833  1    -67833  1   67833  1  0.55 0.83 0.87 0.88 0.10  0.88   L70x7/S355 - 1xM20/8.8
 192 10 3  1478  1478 108  -67833  1    -67833  1   67833  1  0.82 0.83 0.87 0.88       0.88   L70x7/S355 - 1xM20/8.8
 196 10 4  1478  1478 108  -67833  1    -67833  1   67833  1  0.82 0.83 0.87 0.88       0.88   L70x7/S355 - 1xM20/8.8
 200 10 5  1613  1613 185       0  0         0  0       0  0                      0.48  0.48   L45x5/S355 - 1xM12/8.8

Body panel nr 3 
 Mem Ty G  Leng  Lbuc Sle    Fbuc Lc N    Fmin Lc    Fmax Lc  Cbuc Cten Cbea Cbol Cben  Cmax   Profile/Material - Bolt
----------------------------------------------------------------------------------------------------------------------
 204  1    3009  1003  20-3351662  1  -3351662  1 3135854  1  0.95 0.85                 0.95   L250x24/S355
 208  3    4554 -4554 176  -25336  1 4  -50416  1   50400  1  0.58 0.22 0.59 1.00       1.00   L70x7/S355 - 2xM12/8.8
 212  4    4554 -4554 176  -25336  1 4    -256  1     240  1  0.58 0.00 0.00 0.01       0.58   L70x7/S355 - 2xM12/8.8
 220  6    1630 -3259 123  -37934  1    -37934  1   37586  1  0.59 0.42 0.60 0.76 0.31  0.76   L70x7/S355 - 1xM16/8.8
 228  7    1630 -3259 123   -3162  1     -3162  1    2814  1  0.05 0.03 0.05 0.06 0.31  0.31   L70x7/S355 - 1xM16/8.8
Plan frame
 236 11 1  1718  1718 145   -2052  1     -2052  1    1882  1  0.08 0.04 0.06 0.07 0.41  0.41   L50x5/S355 - 1xM12/8.8
 244 11 2  2147  2147 181   -2036  1     -2036  1    1864  1  0.13 0.04 0.06 0.07 0.52  0.52   L50x5/S355 - 1xM12/8.8
 252 11 3  1288  1288 114    -625  1      -625  1     680  1  0.02 0.02 0.02 0.02 0.30  0.30   L50x5/S355 - 1xM12/8.8
 256 11 4  1728  1728 163   -1585  1     -1585  1    1381  1  0.09 0.04 0.05 0.06 0.51  0.51   L45x5/S355 - 1xM12/8.8
 260 11 5   543   543  69     -25  1       -25  1      24  1  0.00 0.00 0.00 0.00 0.16  0.16   L45x5/S355 - 1xM12/8.8
Redundant block nr 5 
 264 10 1  2173  2173 124  -67033  1    -67033  1   67033  1  0.64 0.45 0.67 0.87 0.10  0.87   L90x9/S355 - 1xM20/8.8
 268 10 2  2173  2173 124  -67033  1    -67033  1   67033  1  0.64 0.45 0.67 0.87 0.10  0.87   L90x9/S355 - 1xM20/8.8
 272 10 3  2343  2343 133  -67033  1    -67033  1   67033  1  0.74 0.45 0.67 0.87 0.11  0.87   L90x9/S355 - 1xM20/8.8
 276 10 4  2343  2343 133  -67033  1    -67033  1   67033  1  0.74 0.45 0.67 0.87 0.11  0.87   L90x9/S355 - 1xM20/8.8
 280 10 5  3073  3073 197       0  0         0  0       0  0                      0.20  0.20   L80x8/S355 - 1xM12/8.8
Redundant block nr 6 
 284 10 1  1086  1086  80  -67033  1    -67033  1   67033  1  0.51 0.82 0.86 0.87 0.09  0.87   L70x7/S355 - 1xM20/8.8
 288 10 2  1086  1086  80  -67033  1    -67033  1   67033  1  0.51 0.82 0.86 0.87 0.09  0.87   L70x7/S355 - 1xM20/8.8
 292 10 3  1438  1438 105  -67033  1    -67033  1   67033  1  0.77 0.82 0.86 0.87       0.87   L70x7/S355 - 1xM20/8.8
 296 10 4  1438  1438 105  -67033  1    -67033  1   67033  1  0.77 0.82 0.86 0.87       0.87   L70x7/S355 - 1xM20/8.8
 300 10 5  1536  1536 176       0  0         0  0       0  0                      0.46  0.46   L45x5/S355 - 1xM12/8.8

Body panel nr 4 
 Mem Ty G  Leng  Lbuc Sle    Fbuc Lc N    Fmin Lc    Fmax Lc  Cbuc Cten Cbea Cbol Cben  Cmax   Profile/Material - Bolt
----------------------------------------------------------------------------------------------------------------------
 304  1    3009  1003  20-3310038  1  -3310038  1 3106736  1  0.94 0.84                 0.94   L250x24/S355
 308  3    4433 -4433 171  -26188  1 4  -52206  1   52195  1  0.57 0.23 0.46 0.58       0.58   L70x7/S355 - 2xM16/8.8
 312  4    4433 -4433 171  -26188  1 4    -169  1     159  1  0.57 0.00 0.00 0.00       0.57   L70x7/S355 - 2xM16/8.8
 320  6    1548 -3095 136  -38365  1    -38365  1   38081  1  0.99 0.62 0.71 0.77 0.45  0.99   L60x6/S355 - 1xM16/8.8
 328  7    1548 -3095 136   -3610  1     -3610  1    3326  1  0.09 0.05 0.07 0.07 0.45  0.45   L60x6/S355 - 1xM16/8.8
Plan frame
 336 11 1  1631  1631 154   -2413  1     -2413  1    2232  1  0.12 0.06 0.07 0.09 0.48  0.48   L45x5/S355 - 1xM12/8.8
 344 11 2  2039  2039 192   -2408  1     -2408  1    2226  1  0.19 0.06 0.07 0.09 0.61  0.61   L45x5/S355 - 1xM12/8.8
 352 11 3  1224  1224 119    -743  1      -743  1     803  1  0.02 0.02 0.02 0.03 0.36  0.36   L45x5/S355 - 1xM12/8.8
 356 11 4  1642  1642 155   -1866  1     -1866  1    1649  1  0.10 0.04 0.05 0.07 0.49  0.49   L45x5/S355 - 1xM12/8.8
 360 11 5   516   516  66     -19  1       -19  1      18  1  0.00 0.00 0.00 0.00 0.15  0.15   L45x5/S355 - 1xM12/8.8
Redundant block nr 7 
 364 10 1  2064  2064 132  -66201  1    -66201  1   66201  1  0.90 0.58 0.74 0.86 0.13  0.90   L80x8/S355 - 1xM20/8.8
 368 10 2  2064  2064 132  -66201  1    -66201  1   66201  1  0.90 0.58 0.74 0.86 0.13  0.90   L80x8/S355 - 1xM20/8.8
 372 10 3  2245  2245 128  -66201  1    -66201  1   66201  1  0.67 0.44 0.66 0.86 0.10  0.86   L90x9/S355 - 1xM20/8.8
 376 10 4  2245  2245 128  -66201  1    -66201  1   66201  1  0.67 0.44 0.66 0.86 0.10  0.86   L90x9/S355 - 1xM20/8.8
 380 10 5  2918  2918 187       0  0         0  0       0  0                      0.19  0.19   L80x8/S355 - 1xM12/8.8
Redundant block nr 8 
 384 10 1  1032  1032  76  -66201  1    -66201  1   66201  1  0.47 0.81 0.85 0.86 0.09  0.86   L70x7/S355 - 1xM20/8.8
 388 10 2  1032  1032  76  -66201  1    -66201  1   66201  1  0.47 0.81 0.85 0.86 0.09  0.86   L70x7/S355 - 1xM20/8.8
 392 10 3  1399  1399 103  -66201  1    -66201  1   66201  1  0.73 0.81 0.85 0.86       0.86   L70x7/S355 - 1xM20/8.8
 396 10 4  1399  1399 103  -66201  1    -66201  1   66201  1  0.73 0.81 0.85 0.86       0.86   L70x7/S355 - 1xM20/8.8
 400 10 5  1459  1459 168       0  0         0  0       0  0                      0.43  0.43   L45x5/S355 - 1xM12/8.8

Body panel nr 5 
 Mem Ty G  Leng  Lbuc Sle    Fbuc Lc N    Fmin Lc    Fmax Lc  Cbuc Cten Cbea Cbol Cben  Cmax   Profile/Material - Bolt
----------------------------------------------------------------------------------------------------------------------
 404  1    3009  1003  20-3266009  1  -3266009  1 3074532  1  0.93 0.83                 0.93   L250x24/S355
 408  3    4314 -4314 167  -27411  1 4  -54630  1   54619  1  0.56 0.24 0.43 0.72       0.72   L70x7/S355 - 3xM12/8.8
 412  4    4314 -4314 167  -27411  1 4    -192  1     180  1  0.56 0.00 0.00 0.00       0.56   L70x7/S355 - 3xM12/8.8
 420  6    1466 -2932 129  -39158  1    -39158  1   38881  1  0.91 0.63 0.73 0.79 0.42  0.91   L60x6/S355 - 1xM16/8.8
 428  7    1466 -2932 129   -3737  1     -3737  1    3460  1  0.09 0.06 0.07 0.08 0.42  0.42   L60x6/S355 - 1xM16/8.8
Plan frame
 436 11 1  1545  1545 146   -2441  1     -2441  1    2264  1  0.11 0.06 0.07 0.09 0.46  0.46   L45x5/S355 - 1xM12/8.8
 444 11 2  1932  1932 182   -2436  1     -2436  1    2258  1  0.17 0.06 0.07 0.09 0.58  0.58   L45x5/S355 - 1xM12/8.8
 452 11 3  1159  1159 114    -754  1      -754  1     812  1  0.02 0.02 0.02 0.03 0.34  0.34   L45x5/S355 - 1xM12/8.8
 456 11 4  1555  1555 146   -1889  1     -1889  1    1678  1  0.09 0.04 0.06 0.07 0.46  0.46   L45x5/S355 - 1xM12/8.8
 460 11 5   489   489  63     -21  1       -21  1      20  1  0.00 0.00 0.00 0.00 0.14  0.14   L45x5/S355 - 1xM12/8.8
Redundant block nr 9 
 464 10 1  1955  1955 125  -65320  1    -65320  1   65320  1  0.81 0.58 0.73 0.85 0.12  0.85   L80x8/S355 - 1xM20/8.8
 468 10 2  1955  1955 125  -65320  1    -65320  1   65320  1  0.81 0.58 0.73 0.85 0.12  0.85   L80x8/S355 - 1xM20/8.8
 472 10 3  2148  2148 138  -65320  1    -65320  1   65320  1  0.96 0.58 0.73 0.85 0.13  0.96   L80x8/S355 - 1xM20/8.8
 476 10 4  2148  2148 138  -65320  1    -65320  1   65320  1  0.96 0.58 0.73 0.85 0.13  0.96   L80x8/S355 - 1xM20/8.8
 480 10 5  2764  2764 177       0  0         0  0       0  0                      0.18  0.18   L80x8/S355 - 1xM12/8.8
Redundant block nr 10 
 484 10 1   977   977  72  -65320  1    -65320  1   65320  1  0.44 0.79 0.84 0.85 0.08  0.85   L70x7/S355 - 1xM20/8.8
 488 10 2   977   977  72  -65320  1    -65320  1   65320  1  0.44 0.79 0.84 0.85 0.08  0.85   L70x7/S355 - 1xM20/8.8
 492 10 3  1362  1362 100  -65320  1    -65320  1   65320  1  0.68 0.79 0.84 0.85       0.85   L70x7/S355 - 1xM20/8.8
 496 10 4  1362  1362 100  -65320  1    -65320  1   65320  1  0.68 0.79 0.84 0.85       0.85   L70x7/S355 - 1xM20/8.8
 500 10 5  1382  1382 159       0  0         0  0       0  0                      0.41  0.41   L45x5/S355 - 1xM12/8.8

Body panel nr 6 
 Mem Ty G  Leng  Lbuc Sle    Fbuc Lc N    Fmin Lc    Fmax Lc  Cbuc Cten Cbea Cbol Cben  Cmax   Profile/Material - Bolt
----------------------------------------------------------------------------------------------------------------------
 504  1    3009  1003  20-3219540  1  -3219540  1 3039440  1  0.91 0.82                 0.91   L250x24/S355
 508  3    4198 -4198 162  -28560  1 4  -56902  1   56890  1  0.56 0.25 0.44 0.75       0.75   L70x7/S355 - 3xM12/8.8
 512  4    4198 -4198 162  -28560  1 4    -218  1     206  1  0.56 0.00 0.00 0.00       0.56   L70x7/S355 - 3xM12/8.8
 520  6    1384 -2768 122  -39669  1    -39669  1   39402  1  0.83 0.64 0.74 0.80 0.40  0.83   L60x6/S355 - 1xM16/8.8
 528  7    1384 -2768 122   -3762  1     -3762  1    3495  1  0.08 0.06 0.07 0.08 0.40  0.40   L60x6/S355 - 1xM16/8.8
Plan frame
 536 11 1  1459  1459 137   -2480  1     -2480  1    2311  1  0.10 0.06 0.07 0.09 0.43  0.43   L45x5/S355 - 1xM12/8.8
 544 11 2  1824  1824 172   -2474  1     -2474  1    2303  1  0.16 0.06 0.07 0.09 0.54  0.54   L45x5/S355 - 1xM12/8.8
 552 11 3  1094  1094 109    -769  1      -769  1     825  1  0.02 0.02 0.02 0.03 0.32  0.32   L45x5/S355 - 1xM12/8.8
 556 11 4  1468  1468 138   -1921  1     -1921  1    1716  1  0.08 0.05 0.06 0.07 0.44  0.44   L45x5/S355 - 1xM12/8.8
 560 11 5   461   461  59     -24  1       -24  1      23  1  0.00 0.00 0.00 0.00 0.13  0.13   L45x5/S355 - 1xM12/8.8
Redundant block nr 11 
 564 10 1  1845  1845 118  -64391  1    -64391  1   64391  1  0.71 0.57 0.72 0.83 0.11  0.83   L80x8/S355 - 1xM20/8.8
 568 10 2  1845  1845 118  -64391  1    -64391  1   64391  1  0.71 0.57 0.72 0.83 0.11  0.83   L80x8/S355 - 1xM20/8.8
 572 10 3  2052  2052 131  -64391  1    -64391  1   64391  1  0.87 0.57 0.72 0.83 0.13  0.87   L80x8/S355 - 1xM20/8.8
 576 10 4  2052  2052 131  -64391  1    -64391  1   64391  1  0.87 0.57 0.72 0.83 0.13  0.87   L80x8/S355 - 1xM20/8.8
 580 10 5  2610  2610 191       0  0         0  0       0  0                      0.24  0.24   L70x7/S355 - 1xM12/8.8
Redundant block nr 12 
 584 10 1   923   923  68  -64391  1    -64391  1   64391  1  0.41 0.78 0.82 0.83 0.08  0.83   L70x7/S355 - 1xM20/8.8
 588 10 2   923   923  68  -64391  1    -64391  1   64391  1  0.41 0.78 0.82 0.83 0.08  0.83   L70x7/S355 - 1xM20/8.8
 592 10 3  1325  1325  97  -64391  1    -64391  1   64391  1  0.64 0.78 0.82 0.83       0.83   L70x7/S355 - 1xM20/8.8
 596 10 4  1325  1325  97  -64391  1    -64391  1   64391  1  0.64 0.78 0.82 0.83       0.83   L70x7/S355 - 1xM20/8.8
 600 10 5  1305  1305 150       0  0         0  0       0  0                      0.39  0.39   L45x5/S355 - 1xM12/8.8

Body panel nr 7 
 Mem Ty G  Leng  Lbuc Sle    Fbuc Lc N    Fmin Lc    Fmax Lc  Cbuc Cten Cbea Cbol Cben  Cmax   Profile/Material - Bolt
----------------------------------------------------------------------------------------------------------------------
 604  1    3009  1003  20-3168781  1  -3168781  1 2999733  1  0.90 0.81                 0.90   L250x24/S355
 608  3    4085 -4085 158  -30798  1 4  -61346  1   61332  1  0.57 0.26 0.48 0.81       0.81   L70x7/S355 - 3xM12/8.8
 612  4    4085 -4085 158  -30798  1 4    -249  1     236  1  0.57 0.00 0.00 0.00       0.57   L70x7/S355 - 3xM12/8.8
 620  6    1302 -2605 115  -41457  1    -41457  1   41203  1  0.77 0.67 0.77 0.84 0.37  0.84   L60x6/S355 - 1xM16/8.8
 628  7    1302 -2605 115   -3912  1     -3912  1    3658  1  0.07 0.06 0.07 0.08 0.37  0.37   L60x6/S355 - 1xM16/8.8
Plan frame
 636 11 1  1373  1373 130   -2593  1     -2593  1    2432  1  0.10 0.06 0.08 0.09 0.41  0.41   L45x5/S355 - 1xM12/8.8
 644 11 2  1716  1716 162   -2589  1     -2589  1    2425  1  0.15 0.06 0.08 0.09 0.51  0.51   L45x5/S355 - 1xM12/8.8
 652 11 3  1030  1030 104    -811  1      -811  1     864  1  0.02 0.02 0.03 0.03 0.30  0.30   L45x5/S355 - 1xM12/8.8
 656 11 4  1381  1381 130   -2009  1     -2009  1    1814  1  0.08 0.05 0.06 0.07 0.41  0.41   L45x5/S355 - 1xM12/8.8
 660 11 5   434   434  56     -27  1       -27  1      26  1  0.00 0.00 0.00 0.00 0.13  0.13   L45x5/S355 - 1xM12/8.8
Redundant block nr 13 
 664 10 1  1736  1736 111  -63376  1    -63376  1   63376  1  0.62 0.56 0.71 0.82 0.11  0.82   L80x8/S355 - 1xM20/8.8
 668 10 2  1736  1736 111  -63376  1    -63376  1   63376  1  0.62 0.56 0.71 0.82 0.11  0.82   L80x8/S355 - 1xM20/8.8
 672 10 3  1957  1957 125  -63376  1    -63376  1   63376  1  0.78 0.56 0.71 0.82       0.82   L80x8/S355 - 1xM20/8.8
 676 10 4  1957  1957 125  -63376  1    -63376  1   63376  1  0.78 0.56 0.71 0.82       0.82   L80x8/S355 - 1xM20/8.8
 680 10 5  2456  2456 180       0  0         0  0       0  0                      0.22  0.22   L70x7/S355 - 1xM12/8.8
Redundant block nr 14 
 684 10 1   868   868  64  -63376  1    -63376  1   63376  1  0.39 0.77 0.81 0.82 0.08  0.82   L70x7/S355 - 1xM20/8.8
 688 10 2   868   868  64  -63376  1    -63376  1   63376  1  0.39 0.77 0.81 0.82 0.08  0.82   L70x7/S355 - 1xM20/8.8
 692 10 3  1290  1290  95  -63376  1    -63376  1   63376  1  0.61 0.77 0.81 0.82       0.82   L70x7/S355 - 1xM20/8.8
 696 10 4  1290  1290  95  -63376  1    -63376  1   63376  1  0.61 0.77 0.81 0.82       0.82   L70x7/S355 - 1xM20/8.8
 700 10 5  1228  1228 141       0  0         0  0       0  0                      0.36  0.36   L45x5/S355 - 1xM12/8.8

Body panel nr 8 
 Mem Ty G  Leng  Lbuc Sle    Fbuc Lc N    Fmin Lc    Fmax Lc  Cbuc Cten Cbea Cbol Cben  Cmax   Profile/Material - Bolt
----------------------------------------------------------------------------------------------------------------------
 704  1    3009  1003  20-3116784  1  -3116784  1 2958246  1  0.89 0.80                 0.89   L250x24/S355
 708  3    3976 -3976 180  -31096  1 4  -61906  1   61892  1  1.00 0.37 0.56 0.81       1.00   L60x6/S355 - 3xM12/8.8
 712  4    3976 -3976 180  -31096  1 4    -286  1     271  1  1.00 0.00 0.00 0.00       1.00   L60x6/S355 - 3xM12/8.8
 720  6    1220 -2441 108  -40421  1    -40421  1   40177  1  0.66 0.65 0.75 0.81 0.35  0.81   L60x6/S355 - 1xM16/8.8
 728  7    1220 -2441 108   -3810  1     -3810  1    3566  1  0.06 0.06 0.07 0.08 0.35  0.35   L60x6/S355 - 1xM16/8.8
Plan frame
 736 11 1  1286  1286 123   -2528  1     -2528  1    2373  1  0.09 0.06 0.07 0.09 0.38  0.38   L45x5/S355 - 1xM12/8.8
 744 11 2  1608  1608 151   -2533  1     -2533  1    2375  1  0.13 0.06 0.07 0.09 0.48  0.48   L45x5/S355 - 1xM12/8.8
 752 11 3   965   965 100    -790  1      -790  1     841  1  0.02 0.02 0.02 0.03 0.28  0.28   L45x5/S355 - 1xM12/8.8
 756 11 4  1294  1294 124   -1964  1     -1964  1    1777  1  0.07 0.05 0.06 0.07 0.38  0.38   L45x5/S355 - 1xM12/8.8
 760 11 5   407   407  52     -24  1       -24  1      23  1  0.00 0.00 0.00 0.00 0.12  0.12   L45x5/S355 - 1xM12/8.8
Redundant block nr 15 
 764 10 1  1627  1627 119  -62336  1    -62336  1   62336  1  0.91 0.76 0.80 0.81 0.14  0.91   L70x7/S355 - 1xM20/8.8
 768 10 2  1627  1627 119  -62336  1    -62336  1   62336  1  0.91 0.76 0.80 0.81 0.14  0.91   L70x7/S355 - 1xM20/8.8
 772 10 3  1865  1865 119  -62336  1    -62336  1   62336  1  0.70 0.55 0.70 0.81       0.81   L80x8/S355 - 1xM20/8.8
 776 10 4  1865  1865 119  -62336  1    -62336  1   62336  1  0.70 0.55 0.70 0.81       0.81   L80x8/S355 - 1xM20/8.8
 780 10 5  2301  2301 197       0  0         0  0       0  0                      0.33  0.33   L60x6/S355 - 1xM12/8.8
Redundant block nr 16 
 784 10 1   814   814  60  -62336  1    -62336  1   62336  1  0.36 0.76 0.80 0.81 0.07  0.81   L70x7/S355 - 1xM20/8.8
 788 10 2   814   814  60  -62336  1    -62336  1   62336  1  0.36 0.76 0.80 0.81 0.07  0.81   L70x7/S355 - 1xM20/8.8
 792 10 3  1257  1257  92  -62336  1    -62336  1   62336  1  0.57 0.76 0.80 0.81       0.81   L70x7/S355 - 1xM20/8.8
 796 10 4  1257  1257  92  -62336  1    -62336  1   62336  1  0.57 0.76 0.80 0.81       0.81   L70x7/S355 - 1xM20/8.8
 800 10 5  1151  1151 132       0  0         0  0       0  0                      0.34  0.34   L45x5/S355 - 1xM12/8.8

Body panel nr 9 
 Mem Ty G  Leng  Lbuc Sle    Fbuc Lc N    Fmin Lc    Fmax Lc  Cbuc Cten Cbea Cbol Cben  Cmax   Profile/Material - Bolt
----------------------------------------------------------------------------------------------------------------------
 804  1    3009  1003  20-3056857  1  -3056857  1 2908459  1  0.87 0.79                 0.87   L250x24/S355
 808  3    3871 -3871 150  -35358  1 4  -70376  1   70359  1  0.60 0.30 0.55 0.93       0.93   L70x7/S355 - 3xM12/8.8
 812  4    3871 -3871 150  -35358  1 4    -340  1     323  1  0.60 0.00 0.00 0.00       0.60   L70x7/S355 - 3xM12/8.8
 820  6    1139 -2277 100  -44169  1    -44169  1   43930  1  0.53 0.25 0.60 0.87 0.22  0.87   L60x6/S355 - 2xM12/8.8
